new_doc,old_doc
Permen_Nakertrans_2009_09,
Permen_Nakertrans_2009_12,Permen_Nakertrans_2008_03
Permen_Nakertrans_2009_15,Permen_Nakertrans_2008_22
Permen_ESDM_2009_26,Permen_ESDM_2007_21
Permen_ESDM_2009_31,Permen_ESDM_2009_05
Permen_Hut_2009_18,Permen_Hut_2007_37
Permen_Hut_2009_29,Permen_Hut_2008_52
Permen_BUMN_2009_03,Permen_BUMN_2013_02
Permen_Hub_2018_5,Permen_Hub_2015_124
Permen_Agama_2018_8,Permen_Agama_2015_18
Peraturan_Basarnas_2018_2,
Permen_Kes_2018_3,
Peraturan_Polri_2018_3,Peraturan_Polri_2011_10
Permen_PUPR_2018_01,
Permen_PUPR_2018_01,Permen_PR_2011_21
Peraturan_KPK_2018_03,
Perpres_2018_16,Perpres_2010_54
Perpres_2018_16,Perpres_2015_4
Peraturan_LAN_2018_4,Peraturan_LAN_2017_23
Peraturan_Polri_2018_2,
Permen_Kes_2018_7,Permen_Kes_2017_58
Permen_Hub_2018_22,
Permen_Humham_2018_7,Permen_Humham_2016_46
Permen_Humham_2018_8,Permen_Humham_2017_3
Permen_Perin_2018_7,Permen_Perin_2006_73
Permen_Perin_2018_5,Permen_Perin_2017_34
Permen_Perin_2018_6,Permen_Perin_2016_15
Peraturan_Bawaslu_2018_12,Peraturan_Bawaslu_2017_12
Peraturan_OJK_2018_3,Peraturan_OJK_2015_18
Perpres_2018_20,
Perpres_2018_20,Perpres_2014_72
Permen_KP_2018_9,Permen_KP_2013_22
Permen_Hub_2018_19,Permen_Hub_2016_147
Peraturan_BSN_2018_2,
Permen_Par_2018_3,Permen_Par_2017_1
Permen_Par_2018_4,Permen_Parekraf_2011_106
Peraturan_BPOM_2018_2,Peraturan_BPOM_2015_22
PP_2018_8,PP_2010_23
Peraturan_KPU_2018_13,Peraturan_KPU_2015_14
Peraturan_BI_2018_20,
Peraturan_BI_2018_20,Peraturan_BI_2015_17
Peraturan_BI_2018_20,Peraturan_BI_2016_18
Peraturan_BI_2018_20,Peraturan_BI_2017_19
Peraturan_BI_2018_20,Peraturan_BI_2013_15
Permen_PANRB_2018_19,Permen_PANRB_2011_12
Permen_Dag_2018_43,Permen_Dag_2017_33
Permen_KP_2018_12,Permen_KP_2017_58
Permen_Dikbud_2018_10,
Permen_Dikbud_2018_6,Permen_Dik_2010_28
Permen_Dikbud_2018_9,Permen_Dikbud_2016_19
Permen_PUPR_2018_07,Permen_PUPR_2016_13
Permen_Dikbud_2018_5,Permen_Dikbud_2018_3
Permen_Bappenas_2018_3,Permen_Bappenas_2017_8
Peraturan_KPU_2018_11,
Peraturan_KPU_2018_11,Peraturan_KPU_2014_9
Permen_Bappenas_2018_2,Permen_Bappenas_2012_2
Permen_Dikbud_2018_8,Permen_Dikbud_2017_9
Permen_Kes_2018_4,Permen_Kes_2014_69
Permen_Keu_2018_28,Permen_Keu_2015_272
Permen_KP_2014_22,Permen_KP_2014_12
Permen_KP_2014_27,Permen_KP_2013_20
Permen_KP_2014_28,Permen_KP_2013_17
Permen_KP_2014_42,Permen_KP_2011_02
Permen_KP_2014_43,Permen_KP_2013_32
Permen_KP_2014_47,Permen_KP_2013_24
Permen_KP_2014_54,Permen_KP_2011_46
Permen_KP_2014_57,Permen_KP_2012_30
Perprov_Sumsel_2014_1,Perprov_Sumsel_2012_3
Perprov_Jabar_2014_2,Perprov_Jabar_2008_21
Perprov_Jabar_2014_3,Perprov_Jabar_2008_22
Permen_Hut_2014_70,Permen_Hut_2010_19
Permen_Kes_2014_1,Permen_Kes_2012_59
Permen_Kes_2014_6,Permen_Kes_2010_1636
Permen_Kes_2014_12,Permen_Kes_2013_56
Perkab_Kotabaru_2014_01,Perkab_Kotabaru_2012_10
Peraturan_BPKP_2018_1,Peraturan_BPKP_2010_1217
Permen_LHK_2018_5,
Permen_Keu_2018_17,Permen_Keu_2017_6
Permen_Dag_2018_33,Permen_Dag_2011_37
Permen_Humham_2018_03,
Permen_Humham_2018_03,Permen_Humham_2016_21
Permen_Humham_2018_03,Permen_Humham_2013_21
Peraturan_BNPP_2018_2,Peraturan_BNPP_2015_14
Permen_PUPR_2018_03,Permen_PUPR_2015_38
Permen_ESDM_2018_15,Permen_ESDM_2011_01
Permen_PUPR_2018_04,Permen_PUPR_2016_22
Permen_ESDM_2018_13,
Permen_ESDM_2018_13,Permen_ESDM_2017_25
Permen_LHK_2018_6,
Permen_ESDM_2018_12,Permen_ESDM_2017_39
Permen_KP_2018_7,Permen_KP_2017_6
Permen_Keu_2018_20,Permen_Keu_2015_148
Permen_Hub_2018_8,Permen_Hub_2014_40
UU_2018_2,UU_2014_17
Permen_Dag_2018_37,Permen_Dag_2015_108
Permen_PUPR_2018_06,Permen_PU_2006_11
Permen_ESDM_2018_17,Permen_ESDM_2006_037
Permen_ESDM_2018_19,Permen_ESDM_2017_07
Permen_Hub_2018_20,Permen_Hub_2016_154
Peraturan_Bawaslu_2018_7,Peraturan_Bawaslu_2014_11
Peraturan_Polri_2018_1,
Permen_ESDM_2018_18,
Permen_ESDM_2018_20,Permen_ESDM_2008_21
Permen_Kes_2018_5,Permen_Kes_2013_71
Perkab_Ciamis_2011_4,Perkab_Ciamis_2003_21
Perkab_Ciamis_2011_4,Perkab_Ciamis_2005_26
Perkab_Ciamis_2011_20,
Perkab_Ciamis_2011_21,
Perkab_Ciamis_2011_24,Perkab_Ciamis_2006_12
Perkab_Ciamis_2011_25,Perkab_Ciamis_2000_22
Perkab_Ciamis_2011_25,Perkab_Ciamis_2007_4
Perkab_Ciamis_2011_25,Perkab_Ciamis_2001_20
Perkab_Ciamis_2011_25,Perkab_Ciamis_2001_34
Perkab_Ciamis_2011_25,Perkab_Ciamis_2005_21
Perkab_Ciamis_2011_25,Perkab_Ciamis_2001_35
Perkab_Ciamis_2011_25,Perkab_Ciamis_2002_3
Perkab_Ciamis_2011_25,Perkab_Ciamis_2002_7
Perkab_Ciamis_2011_25,Perkab_Ciamis_2002_18
Perkab_Ciamis_2011_25,
Perkab_Ciamis_2011_25,Perkab_Ciamis_2003_7
Perkab_Ciamis_2011_25,Perkab_Ciamis_2003_11
Perkab_Ciamis_2011_25,Perkab_Ciamis_2003_19
Perkab_Ciamis_2011_25,Perkab_Ciamis_2005_28
Perkab_Ciamis_2011_25,Perkab_Ciamis_2001_12
Perkab_Ciamis_2011_25,Perkab_Ciamis_2005_18
Perkab_Ciamis_2011_27,Perkab_Ciamis_2001_9
Perkab_Ciamis_2011_27,Perkab_Ciamis_2005_18
Perkab_Ciamis_2011_28,
Perkab_Ponorogo_2011_10,Perkab_Ponorogo_2009_5
Perkab_Ponorogo_2011_12,Perkab_Ponorogo_1993_12
Perkab_Ponorogo_2011_14,
Perkab_Ponorogo_2011_14,Perkab_Ponorogo_2007_4
Perkab_Ponorogo_2011_15,
Perkab_Ponorogo_2011_15,Perkab_Ponorogo_2004_5
Perkab_Ponorogo_2011_16,
Perkab_Ponorogo_2011_16,Perkab_Ponorogo_2009_8
Perkot_Padang_2011_10,Perkot_Padang_2009_09
Perkab_Indragiri_Hilir_2010_50,Perkab_Indragiri_Hilir_2000_67
Perkab_Bantul_2014_09,Perkab_Bantul_2011_6
Perkab_Bantul_2014_10,Perkab_Bantul_2008_26
Perkab_Bantul_2014_12,Perkab_Bantul_2012_14
Perkab_Bantul_2014_13,Perkab_Bantul_2011_14
Perkab_Bantul_2014_15,Perkab_Bantul_2012_13
Perprov_Jatim_2014_3,
Permen_Dag_2013_72,Permen_Dag_2012_47
Permen_Dag_2009_73,Permen_Dag_2012_48
Permen_Sos_2013_18,Permen_Sos_2011_60
Permen_Sos_2013_20,Permen_Sos_2012_27
Permen_Sos_2013_25,Permen_Sos_2012_30
Permen_PANRB_2013_46,Permen_PANRB_2013_17
Permen_Dikbud_2014_13,Permen_Dikbud_2013_100
Permen_PU_2013_14,Permen_PU_2011_07
Permen_Keu_2014_56,Permen_Keu_2011_135
Permen_Hub_2014_12,Permen_Hub_2011_58
Peraturan_KPU_2014_17,
Peraturan_BPN_2014_1,
Permen_Perin_2014_30,Permen_Perin_2012_116
Peraturan_Basarnas_2014_14,Peraturan_Basarnas_2014_04
Permen_Perin_2014_48,Permen_Perin_2014_11
Peraturan_BPH_Migas_2014_03,Peraturan_BPH_Migas_2013_02
Permen_Keu_2014_149,Permen_Keu_2013_229
Peraturan_BPOM_2014_8,Peraturan_BPOM_2013_28
Peraturan_BPS_2014_150,Peraturan_BPS_2009_1
Permen_Hub_2014_29,Permen_Hub_2005_4
Permen_Kominfo_2014_26,Permen_Kominfo_2013_32
Permen_Dag_2014_48,Permen_Dag_2012_82
Permen_Dag_2014_49,Permen_Dag_2014_39
Permen_PU_2014_07,Permen_PU_2011_07
Peraturan_BPKP_2014_14,Peraturan_BPKP_2014_10
Permen_Hub_2014_40,
Permen_Hub_2014_42,Permen_Hub_2010_28
Peraturan_Batan_2014_11,Peraturan_Batan_2012_205
Peraturan_Basarnas_2014_20,Peraturan_Basarnas_2012_19
Permen_Hub_2014_55,Permen_Hub_2011_91
Permen_Han_2013_73,Permen_Han_2013_20
Permen_Dag_2014_75,Permen_Dag_2009_44
Peraturan_BPN_2014_11,Peraturan_BPN_2012_2
Permen_Keu_2014_208,Permen_Keu_2013_171
Permen_LHK_2014_94,Permen_Hut_2013_12
Permen_ATRBPN_2014_13,Peraturan_BPN_2013_19
Peraturan_BPOM_2014_16,Peraturan_BPOM_2011_03
Peraturan_BKN_2014_35,Peraturan_BKN_2009_1
Permen_PANRB_2014_53,Permen_PANRB_2010_29
Peraturan_BNN_2014_15,Peraturan_BNN_2013_2
Permen_Hub_2014_77,Permen_Hub_2008_25
