reg_id,year,number,change,file
PERWALI_TANGERANG_2019_4,2019,4,PERWALI_2012_23,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal_no_4.json
PERWALI_TANGERANG_2019_33,2019,33,PERWALI_2018_59,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal_33_20191-1.json
Perwali_Tangerang_2019_3,2019,3,Perwali_2016_108,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal_no_3_tahun_2019_(2).json
Perwali_Tangerang_2019_23,2019,23,Perwali_2016_115,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal_23_2019.json
Perwali_Tangerang_2019_2,2019,2,Perwali_2017_98,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal_no_2-converted.json
PERWALI_TANGERANG_2019_15,2019,15,PERWALI_2017_44,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal_no_15_tahun_2019.json
Perwali_Tangerang_2019_10,2019,10,Perwali_Tangerang_2018_19,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal_nomor_10.json
Perwali_Cirebon_2019_5,2019,5,Perwali_Cirebon_2018_40,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal52019.json
Perwali_Cirebon_2019_4,2019,4,Perwali_2018_35,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal42019.json
PERWALI_CIREBON_2019_25,2019,25,PERWALI_CIREBON_2018_18,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal252019.json
Perwali_Cirebon_2019_22,2019,22,Perwali_Cirebon_2018_9,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal222019.json
Perwali_Cirebon_2019_20,2019,20,Perwali_Cirebon_2017_21,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal202019.json
PERWALI_CIREBON_2019_2,2019,2,PERWALI_CIREBON_2016_41,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal22019.json
Perwali_Cirebon_2019_19,2019,19,Perwali_Cirebon_2018_40,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal192019.json
Perwali_Cirebon_2019_17,2019,17,Perwali_Cirebon_2018_40,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/perda/2019/perwal172019.json
