reg_id,type1,type2,Q,A
PERKAB_BATANG_2010_7,Q1,Q1.1,Siapa yang menetapkan Peraturan Daerah Kabupaten Batang Nomor 7 Tahun 2010?,BAMBANG BINTORO
PERKAB_BUTON_2011_44,Q1,Q1.1,Siapa yang menetapkan Peraturan Daerah Kabupaten Buton Nomor 44 Tahun 2011?,LM. SJAFEI KAHAR
PERKOT_BOGOR_2011_12,Q1,Q1.1,Siapa yang menetapkan Peraturan Daerah Kota Bogor Nomor 12 Tahun 2011?,DIANI BUDIARTO
PERKOT_MAGELANG_2011_6,Q1,Q1.1,Siapa yang menetapkan Peraturan Daerah Kota Magelang Nomor 6 Tahun 2011?,SIGIT WIDYONINDITO
PERKOT_MALANG_2010_15,Q1,Q1.1,Siapa yang menetapkan Peraturan Daerah Kota Malang Nomor 15 Tahun 2010?,Drs. PENI SUPARTO
PERMEN_AGAMA_2017_14,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Agama Republik Indonesia Nomor 14 Tahun 2017?,LUKMAN HAKIM SAIFUDDIN
PERMEN_AGAMA_2018_5,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Agama Republik Indonesia Nomor 5 Tahun 2018?,LUKMAN HAKIM SAIFUDDIN
PERMEN_ATRBPN_2016_34,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Agraria Dan Tata Ruang/ Kepala Badan Pertanahan Nasional Republik Indonesia Nomor 34 Tahun 2016?,SOFYAN A. DJALIL
PERMEN_ATRBPN_2018_2,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Agraria Dan Tata Ruang/ Kepala Badan Pertanahan Nasional Republik Indonesia Nomor 2 Tahun 2018?,SOFYAN A. DJALIL
PERMEN_DAG_2016_73,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Perdagangan Republik Indonesia Nomor 73 Tahun 2016?,ENGGARTIASTO LUKITA
PERMEN_DAGRI_2016_25,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 25 Tahun 2016?,TJAHJO KUMOLO
PERMEN_DAGRI_2017_35,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 35 Tahun 2017?,TJAHJO KUMOLO
PERMEN_DAGRI_2018_131,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 131 Tahun 2018?,TJAHJO KUMOLO
PERMEN_DESA_2016_11,Q1,Q1.1,"Siapa yang menetapkan Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, Dan Transmigrasi Republik Indonesia Nomor 11 Tahun 2016?",MARWAN JAFAR
PERMEN_DESA_2018_15,Q1,Q1.1,"Siapa yang menetapkan Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, Dan Transmigrasi Republik Indonesia Nomor 15 Tahun 2018?",EKO PUTRO SANDJOJO
PERMEN_HUB_2016_138,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Perhubungan Republik Indonesia Nomor 138 Tahun 2016?,BUDI KARYA SUMADI
PERMEN_KES_2017_45,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Kesehatan Republik Indonesia Nomor 45 Tahun 2017?,NILA FARID MOELOEK
PERMEN_KES_2019_49,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Kesehatan Republik Indonesia Nomor 49 Tahun 2019?,NILA FARID MOELOEK
PERMEN_KES_2019_68,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Kesehatan Republik Indonesia Nomor 68 Tahun 2019?,NILA FARID MOELOEK
PERMEN_KEU_2016_105,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Keuangan Republik Indonesia Nomor 105 Tahun 2016?,BAMBANG P. S. BRODJONEGORO
PERMEN_KEU_2017_184,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Keuangan Republik Indonesia Nomor 184 Tahun 2017?,SRI MULYANI INDRAWATI
PERMEN_KEU_2019_182,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Keuangan Republik Indonesia Nomor 182 Tahun 2019?,SRI MULYANI INDRAWATI
PERMEN_KOMINFO_2016_14,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Komunikasi Dan Informatika Republik Indonesia Nomor 14 Tahun 2016?,RUDIANTARA
PERMEN_KOMINFO_2017_6,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Komunikasi Dan Informatika Republik Indonesia Nomor 6 Tahun 2017?,RUDIANTARA
PERMEN_KP_2015_35,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia Nomor 35 Tahun 2015?,SUSI PUDJIASTUTI
PERMEN_KP_2017_24,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia Nomor 24 Tahun 2017?,SUSI PUDJIASTUTI
PERMEN_KP_2018_48,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia Nomor 48 Tahun 2018?,SUSI PUDJIASTUTI
PERMEN_LHK_2015_58,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 58 Tahun 2015?,SITI NURBAYA
PERMEN_LHK_2017_21,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 21 Tahun 2017?,SITI NURBAYA
PERMEN_LHK_2019_38,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 38 Tahun 2019?,SITI NURBAYA
PERMEN_LHK_2018_86,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 86 Tahun 2018?,SITI NURBAYA
PERMEN_LU_2017_10,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Luar Negeri Republik Indonesia Nomor 10 Tahun 2017?,RETNO L. P. MARSUDI
